time,open,high,low,close,EMA,MA_HL upper,MA_HL lower,Basis,Upper,Lower,Volume,Histogram,MACD,Signal,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-03-04T13:50:00-04:00,5796.75,5796.75,5788.75,5789.5,5796.049463,5793.060925,5787.343099,5796.575,5802.700969,5790.449031,6111,-0.927675116,0.940997672,1.868672788,41.77762081,54.19135578,NaN,NaN,NaN,NaN
2025-03-04T13:51:00-04:00,5789.75,5791.5,5788.5,5789.25,5794.689571,5793.005178,5787.384417,5796.35,5803.166157,5789.533843,5273,-1.245918518,0.311274641,1.557193159,41.47789783,52.80754185,NaN,NaN,NaN,NaN
2025-03-04T13:52:00-04:00,5789.5,5789.5,5781,5782.25,5792.201657,5792.879993,5787.156402,5795.7375,5804.904663,5786.570337,7249,-1.840994489,-0.744049952,1.096944536,34.1008267,50.97212012,NaN,NaN,NaN,NaN
2025-03-04T13:53:00-04:00,5782.25,5790.25,5781.5,5790,5791.761325,5792.786065,5786.954388,5795.5,5804.997368,5786.002632,5424,-1.632882345,-0.944158395,0.68872395,45.63036676,49.96023697,NaN,NaN,NaN,NaN
2025-03-04T13:54:00-04:00,5790,5794.5,5790,5792,5791.80906,5792.847277,5787.06316,5795.25,5804.839056,5785.660944,4548,-1.295486931,-0.930634714,0.364852217,48.15141913,49.72006836,NaN,NaN,NaN,NaN
2025-03-04T13:55:00-04:00,5791.75,5792.25,5788.5,5789.75,5791.397248,5792.825945,5787.114475,5794.9375,5804.811551,5785.063449,3759,-1.163018488,-1.088920893,0.074097595,45.59027018,49.17244573,NaN,NaN,NaN,NaN
2025-03-04T13:56:00-04:00,5789.75,5791.25,5785.75,5786.5,5790.417799,5792.769662,5787.065744,5794.25,5804.45784,5784.04216,3888,-1.227105425,-1.459784186,-0.232678761,42.10641913,48.91349562,NaN,NaN,NaN,NaN
2025-03-04T13:57:00-04:00,5786.75,5788.25,5785,5786.75,5789.684239,5792.608245,5786.991968,5793.625,5804.059917,5783.190083,3545,-1.184871277,-1.713767857,-0.52889658,42.47060122,48.142668,NaN,NaN,NaN,NaN
2025-03-04T13:58:00-04:00,5786.75,5788,5784.25,5784.25,5788.597391,5792.443665,5786.89404,5792.9,5803.813753,5781.986247,3209,-1.251009132,-2.092657995,-0.841648863,39.77600316,47.33099916,NaN,NaN,NaN,NaN
2025-03-04T13:59:00-04:00,5784.25,5787.75,5783.25,5786.75,5788.227913,5792.276034,5786.763896,5792.3,5803.180717,5781.419283,4266,-1.05966578,-2.166231088,-1.106565308,43.62773257,46.24004085,NaN,NaN,NaN,NaN
2025-03-04T14:00:00-04:00,5786.75,5790.75,5785,5788,5788.18233,5792.221533,5786.7009,5791.9625,5802.936646,5780.988354,4763,-0.794325619,-2.099472332,-1.305146713,45.50446269,45.11120695,NaN,NaN,NaN,NaN
2025-03-04T14:01:00-04:00,5788,5788.5,5782.25,5787,5787.945864,5792.088621,5786.541939,5791.525,5802.557792,5780.492208,5207,-0.638294575,-2.103014932,-1.464720357,44.23569007,44.18188167,NaN,NaN,NaN,NaN
2025-03-04T14:02:00-04:00,5786.75,5786.75,5783,5785.75,5787.506691,5791.897956,5786.415441,5791.2375,5802.553943,5779.921057,3284,-0.573455387,-2.18153959,-1.608084203,42.63541374,43.46623479,NaN,NaN,NaN,NaN
2025-03-04T14:03:00-04:00,5785.5,5793.5,5785.25,5793,5788.605353,5791.955172,5786.373818,5791.0875,5802.225582,5779.949418,4506,-0.025415302,-1.639853331,-1.614438029,53.2085009,43.59237321,NaN,NaN,NaN,NaN
2025-03-04T14:04:00-04:00,5792.75,5794.75,5790,5790.25,5788.934282,5792.054987,5786.503325,5790.8625,5801.876667,5779.848333,3377,0.158637866,-1.416140696,-1.574778562,49.48293086,44.1427525,NaN,NaN,NaN,NaN
2025-03-04T14:05:00-04:00,5790.25,5796.5,5788.5,5793.75,5789.897426,5792.213738,5786.574635,5790.5375,5800.781126,5780.293874,6025,0.503401546,-0.94552663,-1.448928176,53.90648708,45.03050887,NaN,NaN,NaN,NaN
2025-03-04T14:06:00-04:00,5793.75,5795.5,5790.75,5792.25,5790.367941,5792.331104,5786.723755,5790.0375,5798.817128,5781.257872,4109,0.610586707,-0.685694793,-1.296281499,51.81249141,46.29562778,NaN,NaN,NaN,NaN
2025-03-04T14:07:00-04:00,5792.25,5795,5790.75,5792.5,5790.794353,5792.426422,5786.867549,5789.6625,5797.270514,5782.054486,3596,0.673532691,-0.454365635,-1.127898326,52.14613685,46.76103993,NaN,NaN,NaN,NaN
2025-03-04T14:08:00-04:00,5792.25,5805,5792,5804.75,5793.585482,5792.875478,5787.050851,5790.0375,5799.594271,5780.480729,6346,1.469727534,0.709261091,-0.760466443,64.95169461,47.96105961,NaN,NaN,NaN,NaN
2025-03-04T14:09:00-04:00,5804.75,5808.5,5804,5806.75,5796.218386,5793.433497,5787.656178,5790.55,5802.288399,5778.811601,6893,2.026289846,1.772395864,-0.253893981,66.52661885,49.45651308,NaN,NaN,NaN,NaN
2025-03-04T14:10:00-04:00,5806.5,5814.5,5805.25,5814.5,5799.874709,5794.185872,5788.284529,5791.8,5807.485662,5776.114338,7873,2.765812456,3.203371588,0.437559133,71.81237907,51.57836736,NaN,NaN,NaN,NaN
2025-03-04T14:11:00-04:00,5814.5,5816,5811.5,5814,5802.699767,5794.964948,5789.113653,5793.0375,5811.400013,5774.674987,6741,3.048444467,4.248114716,1.199670249,71.0330492,53.61854222,NaN,NaN,NaN,NaN
2025-03-04T14:12:00-04:00,5814,5820.5,5813.75,5816.5,5805.459813,5795.876914,5789.993522,5794.75,5815.054556,5774.445444,7313,3.214395234,5.217664292,2.003269058,72.63229449,55.96542017,NaN,NaN,NaN,NaN
2025-03-04T14:13:00-04:00,5816.75,5822.5,5816,5817.75,5807.917851,5796.827739,5790.922325,5796.1375,5818.628873,5773.646127,6741,3.211414709,6.017537444,2.806122735,73.42239586,58.09361041,NaN,NaN,NaN,NaN
2025-03-04T14:14:00-04:00,5817.75,5821.25,5817.25,5819,5810.134281,5797.699962,5791.862599,5797.4875,5821.976005,5772.998995,4770,3.095388102,6.675357862,3.57996976,74.22379359,60.14499118,NaN,NaN,NaN,NaN
2025-03-04T14:15:00-04:00,5819,5820,5813.5,5816,5811.307424,5798.496392,5792.635363,5798.8,5824.282641,5773.317359,6150,2.636308621,6.875355537,4.239046916,68.85744237,61.90368778,NaN,NaN,NaN,NaN
2025-03-04T14:16:00-04:00,5815.75,5817.5,5807.5,5808.5,5810.74594,5799.175092,5793.166243,5799.9,5825.06118,5774.73882,6691,1.693087782,6.355406643,4.662318861,57.63803744,62.97530376,NaN,NaN,NaN,NaN
2025-03-04T14:17:00-04:00,5808.5,5809.5,5804.75,5807.5,5810.096752,5799.543839,5793.579949,5800.9375,5825.549425,5776.325575,4695,0.906817639,5.79584091,4.889023271,56.32036395,63.19757969,NaN,NaN,NaN,NaN
2025-03-04T14:18:00-04:00,5807.75,5808,5801.75,5807.5,5809.577401,5799.845845,5793.871736,5802.1,5825.62148,5778.57852,4665,0.321889575,5.291385239,4.969495665,56.32036395,63.68596776,NaN,NaN,NaN,NaN
2025-03-04T14:19:00-04:00,5807.5,5813,5807,5808.75,5809.411921,5800.315636,5794.340603,5803.2,5825.786279,5780.613721,4533,-0.027139851,4.935570851,4.962710702,57.72155392,63.95847254,NaN,NaN,NaN,NaN
2025-03-04T14:20:00-04:00,5808.75,5810.5,5805.25,5807,5808.929537,5800.679363,5794.730224,5804.15,5825.672314,5782.627686,3567,-0.401407015,4.460951933,4.862358948,55.05864538,64.19034068,NaN,NaN,NaN,NaN
