c,h,l,n,o,t,v,vw
523.12,523.12,522.5,78,522.5,2025-01-21 09:00:00+00:00,2554,522.965561
523.0,523.04,522.94,51,523.04,2025-01-21 09:01:00+00:00,2228,523.025719
522.96,523.02,522.96,49,522.97,2025-01-21 09:02:00+00:00,2797,522.971064
523.02,523.02,522.95,51,522.95,2025-01-21 09:03:00+00:00,3079,522.964973
523.14,523.14,523.1,17,523.11,2025-01-21 09:04:00+00:00,891,523.126005
523.3,523.3,523.28,26,523.28,2025-01-21 09:05:00+00:00,2697,523.280804
523.27,523.35,523.27,42,523.35,2025-01-21 09:06:00+00:00,1747,523.277982
523.19,523.27,523.19,62,523.27,2025-01-21 09:07:00+00:00,2515,523.253077
523.45,523.45,523.45,21,523.45,2025-01-21 09:08:00+00:00,790,523.45
523.3,523.37,523.3,65,523.36,2025-01-21 09:09:00+00:00,3854,523.342088
523.53,523.53,523.33,34,523.33,2025-01-21 09:10:00+00:00,1258,523.476
523.67,523.71,523.58,40,523.58,2025-01-21 09:11:00+00:00,1386,523.67
523.72,523.74,523.64,47,523.65,2025-01-21 09:12:00+00:00,2790,523.685128
523.67,523.72,523.64,24,523.7,2025-01-21 09:13:00+00:00,1080,523.677521
523.59,523.66,523.59,39,523.64,2025-01-21 09:14:00+00:00,1743,523.636988
523.85,523.87,523.85,29,523.87,2025-01-21 09:15:00+00:00,1197,523.857376
523.46,523.6,523.46,38,523.6,2025-01-21 09:16:00+00:00,1099,523.532
523.42,523.45,523.33,46,523.45,2025-01-21 09:17:00+00:00,6471,523.413621
523.48,523.48,523.33,59,523.33,2025-01-21 09:18:00+00:00,9219,523.428888
523.42,523.48,523.42,27,523.47,2025-01-21 09:19:00+00:00,1554,523.461
523.41,523.41,523.41,12,523.41,2025-01-21 09:20:00+00:00,481,523.41
523.61,523.61,523.6,18,523.6,2025-01-21 09:22:00+00:00,721,523.606
523.8,523.8,523.8,16,523.8,2025-01-21 09:23:00+00:00,349,523.8
523.7,523.7,523.7,11,523.7,2025-01-21 09:24:00+00:00,476,523.7
523.33,523.46,523.33,35,523.46,2025-01-21 09:25:00+00:00,1422,523.417691
523.43,523.43,523.43,20,523.43,2025-01-21 09:26:00+00:00,605,523.43
523.46,523.46,523.46,14,523.46,2025-01-21 09:27:00+00:00,252,523.46
523.5,523.5,523.49,12,523.49,2025-01-21 09:28:00+00:00,1183,523.496154
523.64,523.64,523.55,22,523.55,2025-01-21 09:29:00+00:00,1123,523.611333
523.79,523.79,523.69,26,523.7,2025-01-21 09:30:00+00:00,1291,523.718269
523.94,523.94,523.87,46,523.87,2025-01-21 09:32:00+00:00,1475,523.91946
524.02,524.05,524.01,21,524.05,2025-01-21 09:34:00+00:00,913,524.02314
524.07,524.07,524.06,18,524.06,2025-01-21 09:35:00+00:00,622,524.064845
524.16,524.16,523.99,31,524.0,2025-01-21 09:36:00+00:00,1635,524.079083
523.94,524.01,523.92,34,524.01,2025-01-21 09:38:00+00:00,1346,523.946
523.97,523.99,523.97,25,523.98,2025-01-21 09:39:00+00:00,1368,523.975146
523.99,523.99,523.99,12,523.99,2025-01-21 09:40:00+00:00,167,523.99
523.88,523.93,523.88,26,523.9,2025-01-21 09:41:00+00:00,1062,523.906596
523.93,523.93,523.93,17,523.93,2025-01-21 09:42:00+00:00,361,523.93
523.81,523.82,523.78,18,523.78,2025-01-21 09:44:00+00:00,699,523.791966
523.84,523.84,523.84,14,523.84,2025-01-21 09:45:00+00:00,274,523.84
523.98,523.98,523.98,17,523.98,2025-01-21 09:48:00+00:00,355,523.98
524.01,524.01,524.01,11,524.01,2025-01-21 09:49:00+00:00,356,524.01
524.03,524.04,524.0,25,524.04,2025-01-21 09:50:00+00:00,1348,524.017273
524.03,524.03,524.03,12,524.03,2025-01-21 09:53:00+00:00,161,524.03
523.93,523.94,523.93,19,523.94,2025-01-21 09:54:00+00:00,1397,523.931667
523.98,524.02,523.98,20,523.98,2025-01-21 09:55:00+00:00,1186,524.011245
523.96,523.96,523.96,10,523.96,2025-01-21 09:57:00+00:00,277,523.96
524.43,524.43,524.24,50,524.24,2025-01-21 09:59:00+00:00,2471,524.315911
524.47,524.52,524.47,45,524.52,2025-01-21 10:00:00+00:00,830,524.495
524.61,524.61,524.52,12,524.52,2025-01-21 10:01:00+00:00,630,524.5875
524.72,524.72,524.69,27,524.69,2025-01-21 10:02:00+00:00,1493,524.707692
524.68,524.74,524.68,10,524.74,2025-01-21 10:03:00+00:00,285,524.71
524.75,524.75,524.74,14,524.74,2025-01-21 10:04:00+00:00,474,524.747143
524.74,524.74,524.72,18,524.72,2025-01-21 10:05:00+00:00,3316,524.739349
524.72,524.73,524.72,10,524.73,2025-01-21 10:06:00+00:00,564,524.7225
524.95,524.95,524.89,27,524.89,2025-01-21 10:07:00+00:00,1015,524.929735
524.91,524.91,524.89,23,524.89,2025-01-21 10:08:00+00:00,298,524.9
524.82,524.82,524.82,20,524.82,2025-01-21 10:09:00+00:00,234,524.82
524.64,524.64,524.61,26,524.61,2025-01-21 10:10:00+00:00,1053,524.629332
524.5,524.56,524.47,29,524.56,2025-01-21 10:11:00+00:00,2431,524.491763
524.48,524.48,524.48,20,524.48,2025-01-21 10:12:00+00:00,611,524.48
524.37,524.42,524.37,20,524.42,2025-01-21 10:13:00+00:00,1538,524.376855
524.37,524.37,524.37,20,524.37,2025-01-21 10:14:00+00:00,236,524.37
524.31,524.31,524.31,24,524.31,2025-01-21 10:15:00+00:00,1408,524.31
524.44,524.44,524.44,11,524.44,2025-01-21 10:16:00+00:00,477,524.44
524.48,524.48,524.4,4,524.42,2025-01-21 10:17:00+00:00,345,524.431662
524.42,524.42,524.42,13,524.42,2025-01-21 10:18:00+00:00,296,524.42
524.44,524.46,524.44,14,524.46,2025-01-21 10:19:00+00:00,344,524.45
524.44,524.44,524.44,10,524.44,2025-01-21 10:20:00+00:00,195,524.44
524.31,524.32,524.31,9,524.32,2025-01-21 10:21:00+00:00,2165,524.318
524.4,524.42,524.4,8,524.42,2025-01-21 10:23:00+00:00,1143,524.410319
524.42,524.42,524.42,18,524.42,2025-01-21 10:24:00+00:00,542,524.42
524.55,524.59,524.51,21,524.51,2025-01-21 10:27:00+00:00,681,524.548166
524.52,524.52,524.52,8,524.52,2025-01-21 10:31:00+00:00,687,524.52
524.6,524.6,524.6,8,524.6,2025-01-21 10:33:00+00:00,240,524.6
524.6,524.6,524.6,14,524.6,2025-01-21 10:34:00+00:00,178,524.6
524.57,524.57,524.57,16,524.57,2025-01-21 10:35:00+00:00,308,524.57
524.7,524.7,524.7,6,524.7,2025-01-21 10:38:00+00:00,225,524.7
524.56,524.56,524.56,20,524.56,2025-01-21 10:39:00+00:00,434,524.56
524.51,524.51,524.51,16,524.51,2025-01-21 10:40:00+00:00,566,524.51
524.44,524.47,524.44,13,524.47,2025-01-21 10:41:00+00:00,457,524.455714
524.5,524.5,524.5,8,524.5,2025-01-21 10:42:00+00:00,235,524.5
524.44,524.54,524.44,13,524.54,2025-01-21 10:45:00+00:00,846,524.500286
524.43,524.43,524.43,17,524.43,2025-01-21 10:47:00+00:00,417,524.43
524.46,524.46,524.46,8,524.46,2025-01-21 10:48:00+00:00,181,524.46
524.37,524.38,524.37,20,524.38,2025-01-21 10:49:00+00:00,591,524.372701
524.25,524.29,524.23,40,524.29,2025-01-21 10:50:00+00:00,4914,524.247857
524.35,524.35,524.35,7,524.35,2025-01-21 10:51:00+00:00,264,524.35
524.28,524.28,524.28,30,524.28,2025-01-21 10:53:00+00:00,959,524.28
524.12,524.17,524.12,14,524.17,2025-01-21 10:54:00+00:00,730,524.141667
524.02,524.03,524.02,21,524.03,2025-01-21 10:55:00+00:00,497,524.024
524.08,524.08,524.08,9,524.08,2025-01-21 10:56:00+00:00,351,524.08
524.14,524.14,524.09,9,524.09,2025-01-21 10:57:00+00:00,523,524.1025
523.96,524.0,523.96,28,524.0,2025-01-21 10:58:00+00:00,570,523.976
523.92,523.92,523.92,12,523.92,2025-01-21 10:59:00+00:00,411,523.92
523.97,523.97,523.97,21,523.97,2025-01-21 11:00:00+00:00,502,523.97
524.13,524.13,524.13,6,524.13,2025-01-21 11:01:00+00:00,185,524.13
524.14,524.14,524.14,11,524.14,2025-01-21 11:02:00+00:00,342,524.14
524.14,524.14,524.09,10,524.12,2025-01-21 11:04:00+00:00,973,524.12573
524.27,524.27,524.2,14,524.2,2025-01-21 11:05:00+00:00,1049,524.209831
524.29,524.29,524.29,15,524.29,2025-01-21 11:07:00+00:00,539,524.29
524.36,524.37,524.36,5,524.37,2025-01-21 11:08:00+00:00,206,524.365
524.37,524.37,524.37,11,524.37,2025-01-21 11:12:00+00:00,233,524.37
524.27,524.44,524.27,21,524.44,2025-01-21 11:15:00+00:00,732,524.355
524.13,524.22,524.11,25,524.22,2025-01-21 11:16:00+00:00,1897,524.16375
524.0,524.1,524.0,39,524.1,2025-01-21 11:17:00+00:00,2135,524.030526
523.7,523.93,523.7,32,523.93,2025-01-21 11:20:00+00:00,1001,523.796883
523.67,523.8,523.67,33,523.8,2025-01-21 11:22:00+00:00,1568,523.715
